"ITTER107","Territorio","TIPO_DATO22","Tipo dato","LOCSTRADALE","Localizzazione dell incidente","INTERSEZIONE","Intersezione","NATURAINCIDENTE","Natura dell incidente","SI_NO","Incidente mortale","ORA","Ora incidente stradale","GIORNOSETT","Giorno della settimana","MESE2","Mese","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","1","gennaio","2014","2014",1201,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","1","gennaio","2015","2015",1283,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","1","gennaio","2016","2016",1369,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","1","gennaio","2017","2017",1229,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","1","gennaio","2018","2018",1081,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","1","gennaio","2014","2014",28,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","1","gennaio","2015","2015",37,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","1","gennaio","2016","2016",30,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","1","gennaio","2017","2017",25,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","1","gennaio","2018","2018",30,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","2","febbraio","2014","2014",1192,,
